子域名,出现次数,URL示例（管道符分隔）
www.gaf.com,37,https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/resources?utm_source=chatgpt.com|https://www.gaf.com/en-us/blog/commercial-roofing/asphaltic-roofing-systems-an-effective-choice-for-commercial-properties-dd76b4fa-e6f5-40bc-9a7a-3bbf272287e9?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/sbs-modified-bitumen-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/document-library/documents/manuals/ruberoid-app-torch-applied-roofing-systems-version-1.0-comgn284.pdf?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-energycap-mop-plus-granule-fr-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-30-granule-fr-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-hw-granule-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-hw-granule-fr-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/residential-roofing-materials/residential-roll-roofing/liberty-sbs-self-adhering-cap-sheet?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/tpo-membranes/resources?utm_source=chatgpt.com|https://www.gaf.com/en-us/blog/commercial-roofing/what-is-sbs-roofing-11da08f9-29d8-4fee-acea-ebda8c1ed8c8?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/tri-ply-app-smooth-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/tri-ply-app-granule-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-torch-smooth-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-torch-granule-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/for-pros/contractors/commercial-toolkit/easier-is-better?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/tpo-membranes/everguard-sa-tpo-self-adhered-roof-membrane?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/tpo-membranes/everguard-tpo-smooth-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/gafglas-flexply-6-ply-sheet?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/tpo-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/pvc-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/pvc-membranes/resources?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/pvc-membranes/everguard-pvc-fleece-back-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/roof-overburden?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/tpo-membranes/everguard-tpo-fleece-back-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/tpo-membranes/everguard-tpo-extreme-smooth-membranes?utm_source=chatgpt.com|https://www.gaf.com/en-us/for-pros/commercial-roof-selector?utm_source=chatgpt.com|https://www.gaf.com/en-us/document-library/documents/data-sheets/data_sheet__ruberoid_ultraclad_sbs_membrane_comas037.pdf?utm_source=chatgpt.com|https://www.gaf.com/en-us/roofing-materials/commercial-roofing-materials/asphaltic-membranes/ruberoid-20-smooth-membrane?utm_source=chatgpt.com
www.jm.com,32,https://www.jm.com/content/dam/jm/global/en/commercial-roofing/products/assets/selector-guide/rs-4923-sbs-membranes-selectorguide.pdf?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/adhesives-and-cements/?utm_source=chatgpt.com|https://www.jm.com/content/dam/jm/global/en/commercial-roofing/Installation-Application_Guides/RS-7870-SBS-Applicator-Guide.pdf?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/dynagrip-cap/?utm_source=chatgpt.com|https://www.jm.com/content/dam/jm/global/en/commercial-roofing/products/sbsfamily/sbs-membranes/rs-7870-sbs-applicator-guide.pdf?utm_source=chatgpt.com|https://www.jm.com/en/blog/2026/april/roofing-adhesives---pick-it-right-to-stick-it-right/?utm_source=chatgpt.com|https://www.jm.com/en/blog/2023/june/best-practices-for-adhered-commercial-roofing/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/jm-basegrip-sd-sa/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/dynagrip-base-pr-p-sa/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/jm-cleanbond-base-flashing/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/jm-cleanbond-cap/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/app-roofing-systems/dibiten/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/dynagrip-base-sa-sa/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/dynagrip-base-p-sa/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/dynagrip-base-sd-sa-2-5/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/tpo-roofing-systems/jm-tpo-sa-60-mil/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/sbs-systems/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/specialty-roofing-products/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/jm-commercial-roofing-codes-corner/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/tpo-roofing-systems/jm-tpo-roofing-membrane/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/specs-and-details/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/commercial-roofing-design-professionals/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/recursos-en-espanol/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/building-owners/commercial-roofing-options-for-healthcare/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/epdm-roofing-systems/jm-epdm-reinforced-roofing-membrane/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/jm-commercial-roofing-case-studies/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/jm-adhesives-cements-cleaners-primers-sealants/jm-lvoc-membrane-adhesive-tpo-and-epdm/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/jm-adhesives-cements-cleaners-primers-sealants/jm-tpo-1168-membrane-adhesive/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/tpo-roofing-systems/?utm_source=chatgpt.com|https://www.jm.com/en/commercial-roofing/sbs-roofing-systems/dynakap-fr-t1-cr-g/?utm_source=chatgpt.com
usa.sika.com,28,https://usa.sika.com/en/construction/below-grade-waterproofing/sheet-waterproofing-membrane.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/post-applied-waterproofing-membrane/sikaproof-a-plus-12.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/products-systems/products/membranes/roofing-membranes.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction-products/53343/base-ply-vapor-retardersheets/ply-sheet-ta-87.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/why-sika-sarnafil/modified-bitumen.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/pre-post-applied-loose-laid-membranes/sikaplan-wp-1130-20c.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/products-systems/modified-bitumen-roofing-products/modified-bitumen-roofing-sheets/sikashield-e54-sf3mm.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/pre-applied-fully-bonded-membranes/sikaproof-808.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/pre-applied-fully-bonded-membranes.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/post-applied-waterproofing-membrane/sikaproof-adhesive-22.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/pre-applied-fully-bonded-membranes/sikaproof--a-12.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/below-grade-waterproofing/pre-applied-fully-bonded-membranes/sikaproof-tape-a-plus-n.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/products-systems.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/products-systems/products/membranes.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/resource-center/news/sika-breaks-ground-on-new-highly-automated-roofing-plant-in-texa.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/building-envelope/roofing-waterproofing/sikaplan-roofing-systems.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/products-systems/roofing-innovations/textured-membranes.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/plaza-decks/waterproofing-decks/sarnafil-loose-laid-membrane/sikaplan-wp-1130-25c.html?utm_source=chatgpt.com|https://usa.sika.com/sarnafil/en/pvc-roofing/membranes/roofing-membranes/sikaplan-universal-60energysmart.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/plaza-decks/waterproofing-decks/sarnafil-loose-laid-membrane/sikaplan-wp-1130-20c.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/plaza-decks/waterproofing-decks/sarnafil-loose-laid-membrane/sikaplan-wp-1130-15c.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/building-envelope/roofing-waterproofing/waterproofing-membrane.html?utm_source=chatgpt.com|https://usa.sika.com/en/construction/waterproofing-coatings.html?utm_source=chatgpt.com
www.sika.com,17,https://www.sika.com/en/solutions-for-projects/stadiums.html?utm_source=chatgpt.com|https://www.sika.com/en/construction/waterproofing-systems/bituminous-membrane.html?utm_source=chatgpt.com|https://www.sika.com/en/construction/waterproofing-systems/sheet-waterproofing-membrane.html?utm_source=chatgpt.com|https://www.sika.com/content/dam/dms/corporate/g/glo-waterproofing-sikaplan-membrane-systems-tunnels.pdf?utm_source=chatgpt.com|https://www.sika.com/en/construction/waterproofing-systems/below-grade-structures-basements.html?utm_source=chatgpt.com|https://www.sika.com/en/construction/waterproofing-systems/tunnel.html?utm_source=chatgpt.com|https://www.sika.com/en/sustainability/innovation/technologies/ThermoplasticSystems/sikaproof-a-fully-bonded-sheet-membrane-system.html?utm_source=chatgpt.com|https://www.sika.com/en/solutions-for-projects/electronics.html?utm_source=chatgpt.com|https://www.sika.com/en/construction/roof-systems/single-ply-roof-membrane.html?utm_source=chatgpt.com|https://www.sika.com/en/construction/waterproofing-systems.html?utm_source=chatgpt.com|https://www.sika.com/en/solutions-for-projects.html?utm_source=chatgpt.com|https://www.sika.com/en/construction/roof-systems/bituminous-membrane.html?utm_source=chatgpt.com|https://www.sika.com/en/knowledge-hub/how-to-choose-correct-bitumen-membrane.html?utm_source=chatgpt.com
www.nrca.net,16,https://www.nrca.net/roofingguidelines/Library/Detail?id=AzgjChxw5Bs%3D&utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/pdf?id=169737&k=1782854&utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/Library/Detail?id=L61DOyy1bAc%3D&utm_source=chatgpt.com|https://www.nrca.net/workforce-development/training/certa/specifying-program?utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/pdf?id=175874&k=2746958&utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/pdf?id=175840&k=3337181&utm_source=chatgpt.com|https://www.nrca.net/RoofingGuidelines/glossaryall?utm_source=chatgpt.com|https://www.nrca.net/Events/Details/cdc25735-1f74-47d3-9869-8554f9d55522?utm_source=chatgpt.com|https://www.nrca.net/RoofingNews/nrca-offers-guidelines-for-roof-coating-applicators.5-26-2026.13334/details/story?utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/Library/Detail?id=hBDyE5A1UoE%3D&utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/Library/Detail?id=_JClQqhRTFI%3D&utm_source=chatgpt.com|https://www.nrca.net/procertification/certifications/modified-bitumen-systems-installer?utm_source=chatgpt.com|https://www.nrca.net/workforce-development/training/certa/faqs?utm_source=chatgpt.com|https://www.nrca.net/roofingguidelines/Library/Detail?id=GGVEySITz_U%3D&utm_source=chatgpt.com|https://www.nrca.net/workforce-development/training/certa?utm_source=chatgpt.com
www.fosroc.com,14,https://www.fosroc.com/product/show/proofex-3000v?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-hdpe-b125?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-hdpe-b135?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-engage?utm_source=chatgpt.com|https://www.fosroc.com/case-studies/maaden-railway-unloading-station?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-self-adhesive-geotext?utm_source=chatgpt.com|https://www.fosroc.com/solutions/waterproofing?utm_source=chatgpt.com|https://www.fosroc.com/public/solutions/waterproofing?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-2000xl?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-efs?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-12?utm_source=chatgpt.com|https://www.fosroc.com/product/show/proofex-pgp?utm_source=chatgpt.com
www.soprema.us,14,https://www.soprema.us/products/soprawalk?utm_source=chatgpt.com|https://www.soprema.us/news-articles/post/ceo-transition-soprema-us?utm_source=chatgpt.com|https://www.soprema.us/news-articles/post/ire-innovative-product-award-mini-macaden?utm_source=chatgpt.com|https://www.soprema.us/news-articles/post/the-pvc-advantage?utm_source=chatgpt.com|https://www.soprema.us/news-articles/post/why-soprema?utm_source=chatgpt.com|https://www.soprema.us/?utm_source=chatgpt.com|https://www.soprema.us/frequently-asked-questions?utm_source=chatgpt.com|https://www.soprema.us/contact-expert-iibec?utm_source=chatgpt.com|https://www.soprema.us/?CID=mvbrief_AIANYS&utm_source=chatgpt.com|https://www.soprema.us/about-soprema-select?utm_source=chatgpt.com|https://www.soprema.us/ire-2026?utm_source=chatgpt.com|https://www.soprema.us/codes-approvals?utm_source=chatgpt.com|https://www.soprema.us/mission-vision-values/?utm_source=chatgpt.com
gcpat.com,13,https://gcpat.com/en/products/liquid-waterproofing?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/liquid-waterproofing/procor-below-grade-data-sheet?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/bituthene-post-applied-waterproofing/bituthene-3000-and-bituthene-low-temp?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/bituthene-post-applied-waterproofing/tl-0026-bituthene-membrane-terminations?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/bituthene-post-applied-waterproofing/bituthene-8000-data-sheet?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/bituthene-post-applied-waterproofing/bituthene-4000-membrane?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/bituthene-post-applied-waterproofing/tl-0029-high-density-polyethylene-long-term?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/preprufe-800pa-post-applied-waterproofing-membrane/preprufe-800pa-post-applied?utm_source=chatgpt.com|https://gcpat.com/en/about/news/blog/waterproofing-membranes-below-grade-structures?utm_source=chatgpt.com|https://gcpat.com/en/solutions/products/bituthene-post-applied-waterproofing?utm_source=chatgpt.com|https://gcpat.com/en/building-envelope-submittal-packages?utm_source=chatgpt.com|https://gcpat.com/en/products/bituthene-hra-waterproofing-system?utm_source=chatgpt.com
www.iko.com,13,https://www.iko.com/comm/product/armourplast-granular-app/?utm_source=chatgpt.com|https://www.iko.com/comm/blog/commercial-roofing-portfolio/?utm_source=chatgpt.com|https://www.iko.com/comm/product/aquabarrier-fp-foundation-protection/?utm_source=chatgpt.com|https://www.iko.com/comm/product/aquabarrier-bsw-h-horizontal/?utm_source=chatgpt.com|https://www.iko.com/comm/product/armourbridge-45/?utm_source=chatgpt.com|https://www.iko.com/comm/product-categories/building-envelope-foundation-waterproofing/?utm_source=chatgpt.com|https://www.iko.com/comm/product/aquabarrier-bsw-v-vertical/?utm_source=chatgpt.com|https://www.iko.com/comm/product-categories/bridge-deck-waterproofing-waterproofing-membranes-heat-welded-waterproofing-membranes/?utm_source=chatgpt.com|https://www.iko.com/comm/product/asphalt-type-2/?utm_source=chatgpt.com|https://www.iko.com/comm/product-categories/bridge-deck-waterproofing-accessories/?utm_source=chatgpt.com|https://www.iko.com/comm/?utm_source=chatgpt.com|https://www.iko.com/comm/product-categories/bridge-deck-waterproofing-waterproofing-membranes/?utm_source=chatgpt.com|https://www.iko.com/comm/product/aquabarrier-tg-torch-grade/?utm_source=chatgpt.com
www.bmigroup.com,13,https://www.bmigroup.com/our-solutions/civil-engineering/bridges-tunnels-and-parking/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/civil-engineering/mining-and-hydro/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/civil-engineering/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/roof-project/public-buildings/road-surfacing-bitumen-membrane/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/roof-systems/flat-roof-systems/liquid-applied-waterproofing/sealoflex/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/civil-engineering/joints-and-accessories/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/civil-engineering/landfill-and-ground-waterproofing/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/roof-project/public-buildings/roof-renovation-of-the-cnit-roof/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/roof-project/public-buildings/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/roof-project/commercial-roofing-projects/waterproofing-membranes-roof-system-autohaus-hinterbauer/?utm_source=chatgpt.com|https://www.bmigroup.com/your-project/exports/?utm_source=chatgpt.com|https://www.bmigroup.com/our-solutions/roof-project/public-buildings/roof-waterproofing-doha-airport/?utm_source=chatgpt.com
